game_id,mean_user,vol_user,mean_critic,vol_critic,ESRB_rating,genre,weekend_release,major_studio,multiplayers,vol_mods
4327,65,12,76,6,5,1,0,0,0,0
1738,86,39,85,24,1,5,0,0,0,0
1736,87,76,90,26,1,5,1,0,0,0
2666,81,20,74,10,3,1,0,0,1,0
844,75,33,68,8,3,1,0,0,0,0
3551,80,15,68,8,5,3,0,0,0,0
419,79,50,71,19,5,5,0,0,1,0
209,65,31,70,14,5,3,0,0,0,0
4346,88,8,72,10,5,1,0,0,1,0
4231,84,766,83,62,5,1,1,0,1,8802
208,79,111,77,27,3,1,0,0,0,0
210,73,170,80,36,2,3,1,0,0,0
2535,74,74,77,22,2,1,0,0,1,0
4054,84,7,72,5,5,2,0,0,0,0
1620,63,8,78,7,5,1,0,0,1,0
3104,60,11,60,6,5,3,0,0,0,0
2445,51,39,68,19,3,3,0,0,0,0
2441,82,96,77,21,3,3,1,0,0,0
2111,85,92,78,13,3,3,1,0,0,0
989,83,31,73,6,4,2,1,0,0,0
2112,63,70,73,13,5,3,1,0,0,0
2114,71,95,74,14,5,3,0,0,0,0
2747,65,17,60,10,5,5,0,0,0,0
2442,62,113,68,17,5,3,0,0,0,3739
3086,60,20,52,10,5,3,0,0,1,0
192,74,56,77,20,5,3,0,0,1,0
1401,67,14,69,5,5,1,0,0,1,0
2443,63,27,57,12,5,3,0,0,0,0
3544,86,162,68,4,5,4,0,0,0,0
545,63,757,75,55,4,1,0,1,0,0
722,53,10,67,21,3,1,0,1,0,0
3412,66,24,71,7,5,3,0,1,0,0
3719,57,162,63,33,3,3,0,1,1,639
544,39,63,58,6,4,1,0,1,0,0
3423,80,2478,90,70,2,3,0,1,0,0
458,85,4009,96,44,4,1,0,1,1,0
4699,32,26,64,5,3,5,0,1,0,0
374,71,394,69,34,3,1,0,1,1,0
3377,63,12,67,23,3,3,0,1,0,0
3426,70,980,88,84,2,3,1,1,0,0
1197,71,39,52,4,4,1,0,1,0,0
2632,58,77,90,6,1,5,0,1,0,0
460,86,7766,94,68,4,1,0,1,1,0
2320,80,1425,77,46,4,2,0,1,1,0
3432,43,127,64,58,5,3,0,1,1,0
796,83,14,61,10,4,1,0,1,0,0
461,77,517,70,34,4,1,0,1,0,0
540,74,75,82,8,4,1,0,1,0,0
3419,83,976,94,50,2,3,0,1,0,0
3916,53,8,53,24,3,2,1,1,0,0
539,74,83,80,9,4,1,0,1,0,0
3422,83,76,84,37,2,3,0,1,0,0
547,72,88,86,7,4,1,0,1,0,0
3554,82,1372,76,16,4,1,0,1,0,0
464,68,85,80,8,4,1,1,1,0,0
3420,86,178,86,28,2,3,0,1,0,0
548,75,83,84,6,4,1,0,1,0,0
712,69,32,67,46,2,3,0,1,0,0
542,86,112,87,4,4,1,0,1,0,0
4718,72,1385,88,104,3,3,1,1,0,0
3919,76,482,77,20,4,1,0,1,0,0
2633,15,164,87,6,2,5,0,1,0,0
462,85,505,80,34,4,1,0,1,0,0
3427,62,94,79,48,5,3,0,1,0,0
3333,69,177,74,31,4,1,0,1,0,0
4719,77,170,88,39,3,3,0,1,0,0
459,80,1384,88,36,4,1,0,1,0,0
4043,83,53,79,12,1,5,0,1,0,0
3425,77,444,80,53,2,3,0,1,0,0
2322,36,1170,62,31,4,2,1,1,1,0
2323,44,8,62,4,4,2,0,1,0,0
4720,82,2318,89,57,4,3,0,1,1,0
4510,64,30,61,29,4,1,0,1,0,0
2961,79,380,83,51,4,1,0,1,0,0
4721,80,731,86,54,4,3,0,1,0,0
3413,67,9,59,4,5,3,0,1,0,0
538,82,2667,89,38,4,1,0,1,0,0
3421,68,100,83,32,2,3,0,1,0,0
3424,86,653,85,55,2,3,0,1,0,0
3430,56,118,77,31,1,3,0,1,0,0
3415,55,1044,81,78,2,3,1,1,0,505
3416,60,124,79,39,2,3,1,1,0,0
3890,65,644,66,45,4,1,0,1,0,0
4698,44,19,61,5,3,5,0,1,0,0
3725,72,47,57,19,3,3,0,1,0,264
546,57,18,73,5,4,1,0,1,0,0
4697,63,40,74,4,5,5,0,1,0,0
463,62,104,69,5,5,1,0,1,0,0
543,64,39,69,6,4,1,0,1,0,0
2321,41,53,67,4,4,2,0,1,0,0
2031,82,265,81,29,4,1,0,1,1,0
3934,81,2661,94,54,4,4,0,1,1,0
1370,43,952,77,39,4,1,0,1,0,0
541,61,72,75,8,4,1,0,1,0,0
537,77,1455,81,37,4,1,0,1,0,0
1196,58,1186,54,48,4,1,0,1,0,0
597,76,179,76,17,4,2,0,1,1,0
4320,57,9,37,11,1,5,0,0,0,0
4316,72,21,70,8,1,5,1,0,0,0
2350,59,16,74,5,1,5,0,0,0,0
2517,30,10,45,4,1,5,0,0,0,0
2628,86,39,82,6,1,5,0,0,0,0
4696,59,53,70,5,3,5,0,0,0,0
2630,68,130,90,5,1,5,0,0,0,0
2631,52,133,87,6,1,5,0,0,0,0
2634,86,35,80,6,1,5,0,0,0,0
2629,71,66,86,5,1,5,0,0,0,0
2627,75,40,85,5,1,5,0,0,0,0
831,76,9,67,4,5,5,0,0,1,0
4461,71,61,84,7,5,3,0,0,0,0
1482,82,21,76,6,5,1,0,0,0,558
375,46,32,68,9,3,3,1,0,0,0
2248,10,61,47,6,3,1,0,0,0,0
4463,38,14,48,5,3,5,0,0,0,0
3101,80,156,81,19,1,5,1,0,1,0
2851,85,1239,85,40,5,2,0,0,0,0
532,38,88,43,35,4,1,1,0,0,0
3046,69,14,73,14,4,1,0,0,1,0
3913,70,13,65,16,5,2,0,0,0,0
661,80,16,70,6,5,3,0,0,0,0
1880,83,15,76,12,1,5,0,0,0,0
1858,64,8,64,7,1,3,0,0,0,0
1863,74,27,58,11,1,3,1,0,0,0
1861,75,279,84,18,1,3,1,0,0,0
1862,77,28,64,9,1,3,0,0,0,0
1881,83,8,67,8,1,5,0,0,0,0
1859,84,7,67,7,1,3,0,0,0,0
2192,81,17,53,10,3,1,0,0,0,0
253,86,19,67,9,3,3,1,0,1,0
2478,49,30,55,17,3,4,1,0,0,0
240,86,12,71,8,5,1,0,0,0,0
21,42,26,41,7,5,2,0,0,0,0
3289,77,112,75,36,5,3,1,0,1,0
1270,64,13,70,6,3,4,1,0,1,0
3198,82,799,86,20,1,5,1,0,0,75
2365,71,78,65,4,5,2,1,0,0,0
73,52,53,64,40,3,2,0,0,0,0
1930,31,12,56,5,5,2,0,0,1,0
62,69,206,83,19,1,2,0,0,1,0
1929,69,22,69,5,5,2,0,0,1,0
572,86,1323,90,9,3,2,0,0,0,0
2049,69,20,78,13,5,2,0,0,1,0
3812,29,164,34,17,4,1,1,0,0,0
2869,36,3591,79,51,4,1,0,0,1,0
1050,67,89,81,21,5,3,0,0,0,15
245,63,14,67,6,4,1,1,0,0,0
3107,22,44,32,11,5,1,0,0,0,0
3973,70,24,68,14,4,2,0,0,1,0
2948,80,15,72,4,2,1,0,0,0,0
4520,48,129,74,36,5,2,0,0,0,0
2157,77,29,75,20,5,2,0,0,1,0
945,70,72,59,4,3,3,1,0,1,0
1928,70,284,60,19,4,2,0,0,0,0
3164,76,80,77,14,2,5,0,0,0,0
2141,73,29,63,4,3,1,0,0,1,0
1062,63,134,53,4,5,1,1,0,0,0
525,62,71,73,22,5,2,0,0,0,0
526,54,15,65,4,5,2,1,0,0,0
1319,33,4,62,5,5,2,1,0,1,0
3866,40,6,31,11,5,1,0,0,0,0
4258,38,13,68,12,2,3,0,0,1,0
3112,64,72,72,19,5,3,0,0,1,0
3140,72,225,75,22,2,3,0,0,0,0
1395,77,23,80,7,5,5,0,0,1,0
2353,78,16,81,7,5,1,0,0,0,0
1669,75,28,69,7,4,2,0,0,1,0
942,77,10,73,13,1,5,0,0,0,0
4677,71,51,74,15,3,3,1,0,0,0
134,74,10,55,9,3,2,0,0,0,0
2137,65,11,49,5,5,1,0,0,0,0
1602,70,5,74,4,3,1,1,0,0,0
3902,81,7,77,6,5,4,0,0,1,0
3598,49,33,89,5,1,3,1,0,0,0
577,46,19,44,8,1,1,0,0,1,0
940,84,55,80,15,5,2,0,0,0,0
4425,47,6,57,4,5,2,0,0,1,0
3957,62,21,69,12,5,2,0,0,0,0
4752,72,10,51,6,5,2,1,0,0,0
889,70,77,67,14,5,2,1,0,1,0
2521,86,44,82,5,5,2,1,0,1,0
286,73,128,86,14,5,1,1,0,1,0
3836,57,53,51,6,3,1,0,1,0,0
1128,63,150,78,46,4,1,0,1,0,0
3370,63,10,63,12,1,1,0,1,0,0
1179,33,13,69,9,2,1,0,1,0,0
2223,62,13,64,14,1,1,0,1,0,0
4372,77,63,74,9,3,1,0,1,0,0
616,72,16,72,21,1,3,1,1,1,0
3008,78,613,79,35,4,2,0,1,0,0
1029,13,144,61,9,5,1,0,1,0,0
1757,81,135,76,24,4,2,0,1,1,0
3573,75,67,52,11,3,1,0,1,0,0
1030,28,52,68,6,5,1,0,1,0,0
602,43,1701,74,11,4,1,0,1,0,0
2305,78,11,73,14,2,1,0,1,0,0
4310,85,153,91,22,3,5,0,1,0,0
4713,50,19,55,9,3,2,0,1,0,0
984,76,688,63,15,4,1,0,1,0,0
3616,82,57,86,25,3,1,0,1,0,0
1426,61,7,63,27,3,1,0,1,0,0
1755,74,69,79,15,3,1,0,1,0,0
605,34,607,73,16,4,1,1,1,1,0
4376,53,35,55,13,3,2,0,1,0,0
3617,82,9,62,10,3,1,0,1,0,0
1659,4,71,38,6,2,1,0,1,0,0
608,58,98,86,4,4,1,1,1,1,0
1288,83,56,81,22,3,3,0,1,0,0
3569,70,36,62,16,3,2,1,1,0,0
3138,89,239,90,6,5,1,0,1,0,0
425,83,12,70,5,1,1,0,1,0,0
214,75,21,64,7,3,5,1,1,0,0
2306,76,5,58,6,2,1,0,1,0,0
4637,73,13,70,23,4,4,0,1,0,0
3613,75,14,78,18,1,5,0,1,0,0
2401,66,7,73,9,1,5,0,1,0,0
1425,32,46,42,4,4,2,0,1,0,0
601,53,1731,81,29,4,1,0,1,0,0
2006,88,27,80,6,3,5,1,1,0,0
3009,64,424,76,12,4,2,0,1,0,0
4489,83,110,74,22,4,4,0,1,1,0
948,91,789,79,22,3,1,0,1,0,0
913,79,11,77,26,3,3,1,1,0,0
4706,86,49,80,24,3,1,0,1,0,0
4639,73,294,74,41,4,1,0,1,0,0
4249,86,28,80,7,3,2,0,1,0,0
2531,62,5,63,8,2,2,0,1,0,0
4313,81,43,85,30,3,5,0,1,0,0
3607,76,33,78,28,3,1,0,1,0,0
598,85,776,91,44,3,1,0,1,0,0
3571,76,64,68,7,3,2,0,1,0,0
3,61,58,70,18,3,1,0,1,0,0
3761,44,5,45,10,1,5,0,1,0,0
3570,56,14,57,9,2,1,0,1,0,0
4010,74,107,64,7,3,2,0,1,0,0
2428,88,196,88,25,3,3,0,1,0,0
4185,26,304,38,13,4,1,0,1,0,0
3031,80,56,69,21,4,1,0,1,0,0
1028,35,936,83,36,5,1,0,1,0,0
4046,83,149,84,62,3,3,0,1,0,0
3572,73,26,75,16,1,1,0,1,0,0
1177,72,14,71,11,2,1,0,1,0,0
