"Purchase","ShareLink","Deal01","Deal02","Deal03","Deal04","PQ1","PQ2","PQ3","PV1","PV2","PV3","PC1","PC2","PC3","PC4","FNE1","FNE2","FNE3","FNE4","Spont01","Spont02","Spont03","Spont04","Spont05","Risk01","Risk02","Risk03","Risk04","Risk05","Ratio01","Ratio02","Ratio03","Ratio04","Intuit01","Intuit02","Intuit03","Intuit04","Intuit05","Depend01","Depend02","Depend03","Depend04","Depend05","dGender","YrBirth","IBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSport","dFraternity","dAssoc","dAbroad"
81,46,1,2,3,2,2,3,3,2,4,4,2,4,3,4,4,3,6,2,6,5,6,6,4,3,6,3,3,2,2,3,2,2,3,4,2,5,3,4,3,3,3,5,2,1998,2,74,0,60,60,60,2,1,2,2,2,1,1
62,37,1,2,1,3,3,3,3,3,4,3,3,2,2,1,3,4,4,5,2,2,4,2,2,5,5,4,5,2,5,5,5,5,1,2,2,3,2,2,3,2,2,3,2,1998,2,74,0,0,14,30,2,4,2,1,2,2,2
58,1,1,1,2,1,1,2,2,4,3,5,2,2,3,2,2,6,3,6,6,6,3,6,5,2,6,4,5,3,5,2,2,3,6,5,3,6,3,2,5,2,2,2,1,1998,2,70,12,0,12,7,3,2,2,1,1,2,2
0,0,2,1,4,2,4,5,4,3,3,4,3,2,2,2,5,2,6,2,5,6,6,7,4,1,6,3,5,6,1,1,1,2,2,2,2,5,3,7,7,5,7,7,1,1998,2,5,0,0,10,25,2,1,2,2,2,2,1
72,40,1,2,4,3,3,3,3,1,2,2,6,3,3,3,4,4,6,4,6,6,6,6,3,3,6,5,3,3,3,3,3,3,3,3,2,2,3,4,4,4,3,4,2,1997,2,60,0,0,4,6,1,1,2,1,2,2,1
36,3,2,1,3,1,6,6,2,7,7,7,1,3,1,1,1,7,7,2,5,5,1,7,1,1,6,2,6,7,3,1,2,1,3,1,1,2,2,6,6,3,5,7,2,1998,2,84,20,5,20,20,3,1,2,2,2,2,2
0,0,2,2,3,3,2,6,3,3,3,4,2,5,6,2,7,1,7,1,6,5,7,4,5,1,6,4,6,2,1,2,1,1,3,4,1,4,1,6,5,3,5,4,1,1997,2,50,0,0,5,50,2,1,2,2,2,1,1
10,1,1,1,1,2,1,2,4,6,4,7,3,3,2,2,3,5,6,4,5,6,4,4,4,2,5,2,3,3,2,2,2,1,2,2,2,3,2,2,6,2,3,3,2,1998,2,70,10,0,14,30,3,2,2,2,2,2,1
93,60,1,1,3,3,2,1,3,2,3,3,2,2,1,1,2,4,7,4,4,3,3,4,3,2,3,4,1,1,1,4,2,1,3,2,1,5,3,2,1,2,2,4,1,1998,2,90,0,0,14,30,2,1,2,1,2,2,1
65,40,2,1,1,1,2,2,3,2,3,4,1,2,2,3,2,6,4,4,6,5,2,6,5,2,3,2,3,5,2,1,2,2,5,5,2,5,5,5,6,3,5,4,1,1997,2,76,0,0,10,15,5,3,2,1,2,2,1
80,78,1,1,4,3,4,2,3,2,2,1,4,2,5,4,7,7,6,1,5,3,4,4,3,5,6,4,5,3,3,2,3,4,3,3,2,4,3,4,4,4,2,5,1,1997,2,69,0,0,8,6,2,3,2,1,1,2,1
10,1,1,2,2,2,5,5,5,6,4,6,5,6,5,5,2,3,4,3,5,6,5,5,5,5,6,5,6,3,2,2,3,3,5,5,5,4,4,7,4,6,5,5,1,1994,2,75,20,0,15,20,4,1,1,2,2,1,1
5,2,2,2,2,1,2,4,4,4,2,4,3,3,2,3,1,7,3,7,3,1,1,3,2,3,1,1,2,3,2,4,4,2,2,2,3,1,2,3,4,2,2,1,2,1997,2,60,10,0,5,30,1,3,2,2,2,1,1
91,30,1,1,4,2,2,2,2,1,1,1,3,3,2,2,2,6,3,5,5,4,2,5,3,5,6,3,6,2,3,4,3,3,3,3,2,2,3,4,4,1,2,4,1,1997,2,75,2,0,8,16,2,1,2,1,2,2,2
20,1,2,2,3,3,2,3,3,2,3,2,4,3,5,5,2,6,3,5,5,5,3,5,3,3,6,2,3,5,2,2,2,2,3,3,2,4,3,2,2,2,2,3,2,1998,2,61,2,4,15,5,2,1,2,1,2,1,1
0,10,2,1,3,3,3,6,5,3,4,3,3,2,2,2,3,5,6,5,5,5,5,5,4,5,6,2,3,3,3,2,2,2,3,5,2,2,3,3,2,1,2,3,1,1997,2,65,15,6,14,20,3,1,2,2,2,1,1
50,61,1,2,2,1,3,5,4,4,5,4,3,3,3,2,3,5,4,4,2,3,2,3,3,3,4,5,3,2,2,3,2,1,2,3,1,2,2,3,3,2,3,2,2,1997,2,66,0,0,15,35,2,1,2,2,2,2,1
21,11,2,1,2,3,6,6,5,4,3,5,3,3,5,6,3,5,6,3,7,7,6,7,6,2,5,2,5,5,1,1,2,3,5,5,3,7,4,5,5,3,3,5,2,1998,2,80,5,20,5,8,2,3,2,2,2,1,2
10,20,2,2,1,1,3,5,4,6,5,4,3,2,2,2,3,5,6,4,7,7,6,7,5,3,3,1,1,6,2,2,2,2,6,4,2,2,4,4,2,3,4,4,1,1998,2,82,0,0,5,35,2,1,2,2,2,2,1
61,8,2,2,4,2,3,6,4,2,2,2,3,3,3,3,6,3,4,4,4,4,5,4,3,4,5,5,5,3,4,4,3,2,3,4,2,3,4,3,3,3,3,3,1,1995,2,70,0,0,7,10,2,1,2,2,2,2,1
20,5,2,2,4,1,3,5,3,5,6,6,1,2,2,2,3,3,5,3,3,3,3,3,1,3,3,1,3,5,3,3,3,1,2,3,2,4,2,6,7,1,3,2,2,1996,2,80,0,0,10,30,2,2,2,2,2,1,1
87,55,1,2,1,2,2,2,3,2,1,5,1,1,1,1,2,5,7,5,4,3,3,3,3,3,6,4,4,5,1,3,3,2,3,2,1,3,2,4,1,2,2,4,2,1998,2,55,0,4,16,29,2,4,2,2,2,1,1
90,0,2,1,4,2,2,2,4,1,1,1,3,2,2,1,7,1,7,1,4,3,3,5,2,2,6,3,6,3,1,3,1,1,3,3,3,4,4,2,2,3,2,3,2,1997,2,80,0,0,12,20,2,1,2,1,2,2,1
81,60,1,1,3,3,3,3,3,1,4,2,4,4,3,3,1,6,2,7,5,6,5,5,3,2,6,1,3,5,2,3,3,2,6,5,2,5,5,3,2,1,3,3,2,1997,2,70,12,0,8,25,2,1,2,1,2,2,1
27,1,1,2,4,2,6,6,3,2,3,2,1,1,1,1,2,6,3,6,4,4,4,4,3,5,7,5,5,5,3,3,2,2,3,3,2,5,2,6,6,3,3,3,2,1996,2,80,10,0,10,30,2,1,2,2,2,2,1
59,1,1,1,3,1,5,3,3,2,3,2,1,1,1,1,2,7,2,6,4,4,3,2,3,2,5,2,3,5,4,5,4,3,2,3,1,2,2,3,2,1,3,3,2,1999,2,79,0,4,15,30,2,1,2,2,2,2,1
39,0,1,2,4,3,3,2,3,2,6,2,5,1,6,3,6,6,6,5,6,4,7,7,2,6,6,3,2,4,3,4,3,2,2,4,3,3,3,6,6,2,3,5,2,1205,2,67,10,0,12,10,2,1,2,2,2,2,1
75,1,1,1,4,1,5,4,5,2,3,3,5,5,5,3,6,4,6,7,5,5,6,6,2,3,5,2,2,6,2,3,4,1,4,2,2,6,4,6,6,5,5,6,1,1997,2,60,8,0,6,28,2,1,2,2,2,2,1
20,20,1,1,2,1,2,4,3,3,2,3,6,4,6,5,1,6,2,6,4,5,4,4,5,3,6,4,6,3,2,3,4,3,5,6,3,5,5,4,3,3,3,5,1,1997,2,75,4,25,8,70,4,2,2,2,2,1,2
82,86,2,2,2,3,2,2,4,2,2,2,1,1,1,1,5,2,6,2,5,5,5,5,5,3,6,3,3,2,3,3,2,3,3,3,2,3,2,3,5,3,2,3,2,1998,2,70,0,2,18,30,2,1,2,2,2,2,2
58,0,2,2,1,2,5,4,5,3,4,4,6,1,3,1,1,7,2,7,5,4,5,6,3,5,6,3,5,5,3,2,2,3,3,3,3,6,2,6,6,1,4,2,1,1997,2,40,0,0,8,4,1,1,2,1,2,1,2
40,30,2,1,1,3,4,3,2,5,4,4,2,2,3,3,2,6,4,5,5,4,3,3,2,5,5,3,5,3,5,4,3,4,3,3,2,3,3,5,4,2,2,5,2,1996,2,70,11,10,8,15,2,1,2,1,1,2,1
82,0,2,2,3,1,2,2,2,2,2,4,3,3,5,5,3,5,5,5,6,5,3,5,3,4,3,2,3,4,3,2,2,3,6,3,2,5,5,6,5,2,3,5,1,1996,2,80,5,5,12,18,2,1,2,2,2,1,1
13,2,2,1,3,2,3,3,3,2,2,3,2,2,2,2,3,5,7,5,6,5,3,6,1,4,5,2,2,6,2,2,2,1,5,3,1,4,3,5,5,2,3,3,2,1998,2,50,0,10,12,20,2,1,2,2,2,2,1
85,9,1,2,3,2,2,2,2,1,1,1,2,2,6,6,2,6,6,6,3,2,3,3,2,2,6,3,6,2,2,2,2,1,3,3,3,4,3,3,2,2,2,3,2,1998,2,75,4,3,15,30,2,3,2,1,2,2,1
75,30,2,1,4,1,3,3,3,2,1,1,1,1,1,1,2,6,5,6,3,3,2,4,4,4,6,3,2,2,4,3,4,3,2,2,2,3,4,1,1,2,1,2,2,1996,2,73,0,0,12,15,2,1,2,2,2,2,1
75,10,2,1,2,3,3,2,4,3,3,4,3,3,3,3,4,3,5,3,5,3,3,3,3,3,6,3,3,3,3,2,3,2,3,3,3,3,3,3,4,3,3,3,2,1998,2,90,0,10,10,40,1,1,2,2,2,1,1
20,5,1,1,3,2,4,5,4,2,2,2,3,6,6,3,3,5,7,5,6,6,4,6,3,1,6,3,3,3,2,1,2,2,3,3,4,6,3,4,2,1,1,3,1,1998,2,15,0,0,5,20,2,1,2,1,2,2,1
74,2,2,2,1,1,3,3,3,3,4,3,2,2,3,4,1,6,2,6,5,5,5,5,2,3,6,2,4,3,2,4,2,2,2,2,2,3,2,4,3,1,3,4,2,1996,2,80,5,0,14,40,4,2,2,2,2,1,1
62,4,1,2,1,2,3,3,3,2,2,3,2,4,3,2,1,7,2,7,5,6,2,5,3,2,5,2,2,6,2,2,2,2,4,5,2,4,4,2,2,1,3,2,1,1997,2,50,0,10,10,15,2,1,2,2,1,2,2
46,29,2,2,3,1,3,4,4,4,3,3,7,7,7,7,1,7,3,5,5,5,1,5,1,3,4,1,5,3,2,1,1,2,3,3,1,3,3,3,3,5,1,1,1,1998,2,49,0,0,0,0,5,1,2,2,2,2,1
67,3,1,2,2,3,1,2,2,3,2,2,2,6,4,3,1,6,4,5,6,5,3,7,4,5,7,3,2,6,3,2,3,5,2,2,3,2,2,5,7,2,1,3,1,1998,2,86,20,15,5,5,2,3,2,2,2,1,2
77,21,1,1,4,2,2,2,2,1,1,3,5,5,5,2,1,6,3,6,2,2,1,1,2,5,7,2,3,3,2,3,3,3,2,2,2,3,1,4,3,1,4,2,2,1997,2,76,9,6,10,15,1,3,2,1,1,1,1
89,1,1,2,4,1,2,2,4,2,2,3,2,2,2,2,2,6,4,6,5,4,5,6,4,3,5,5,5,3,2,3,3,2,4,5,2,3,4,5,5,3,3,5,1,1998,2,81,0,0,5,3,2,1,2,1,2,2,1
